timestamp,value,unit
2026-03-13 00:00:00,1.0,movements/h
2026-03-13 00:05:00,2.8,movements/h
2026-03-13 00:10:00,1.9,movements/h
2026-03-13 00:15:00,2.8,movements/h
2026-03-13 00:20:00,0,movements/h
2026-03-13 00:25:00,3.1,movements/h
2026-03-13 00:30:00,1.5,movements/h
2026-03-13 00:35:00,4.2,movements/h
2026-03-13 00:40:00,1.5,movements/h
2026-03-13 00:45:00,2.0,movements/h
2026-03-13 00:50:00,2.7,movements/h
2026-03-13 00:55:00,1.1,movements/h
2026-03-13 01:00:00,2.9,movements/h
2026-03-13 01:05:00,1.4,movements/h
2026-03-13 01:10:00,3.3,movements/h
2026-03-13 01:15:00,2.8,movements/h
2026-03-13 01:20:00,2.5,movements/h
2026-03-13 01:25:00,1.3,movements/h
2026-03-13 01:30:00,1.8,movements/h
2026-03-13 01:35:00,2.3,movements/h
2026-03-13 01:40:00,0,movements/h
2026-03-13 01:45:00,1.4,movements/h
2026-03-13 01:50:00,2.9,movements/h
2026-03-13 01:55:00,0.7,movements/h
2026-03-13 02:00:00,3.3,movements/h
2026-03-13 02:05:00,1.4,movements/h
2026-03-13 02:10:00,2.3,movements/h
2026-03-13 02:15:00,0.9,movements/h
2026-03-13 02:20:00,2.5,movements/h
2026-03-13 02:25:00,2.5,movements/h
2026-03-13 02:30:00,3.1,movements/h
2026-03-13 02:35:00,3.4,movements/h
2026-03-13 02:40:00,3.3,movements/h
2026-03-13 02:45:00,2.2,movements/h
2026-03-13 02:50:00,0.8,movements/h
2026-03-13 02:55:00,3.3,movements/h
2026-03-13 03:00:00,0.7,movements/h
2026-03-13 03:05:00,1.6,movements/h
2026-03-13 03:10:00,2.7,movements/h
2026-03-13 03:15:00,2.4,movements/h
2026-03-13 03:20:00,3.6,movements/h
2026-03-13 03:25:00,2.0,movements/h
2026-03-13 03:30:00,0.3,movements/h
2026-03-13 03:35:00,1.7,movements/h
2026-03-13 03:40:00,2.2,movements/h
2026-03-13 03:45:00,1.6,movements/h
2026-03-13 03:50:00,3.4,movements/h
2026-03-13 03:55:00,1.8,movements/h
2026-03-13 04:00:00,0.6,movements/h
2026-03-13 04:05:00,2.5,movements/h
2026-03-13 04:10:00,0.9,movements/h
2026-03-13 04:15:00,3.7,movements/h
2026-03-13 04:20:00,2.3,movements/h
2026-03-13 04:25:00,0.6,movements/h
2026-03-13 04:30:00,3.1,movements/h
2026-03-13 04:35:00,4.4,movements/h
2026-03-13 04:40:00,0,movements/h
2026-03-13 04:45:00,2.9,movements/h
2026-03-13 04:50:00,2.5,movements/h
2026-03-13 04:55:00,2.2,movements/h
2026-03-13 05:00:00,2.3,movements/h
2026-03-13 05:05:00,2.5,movements/h
2026-03-13 05:10:00,1.3,movements/h
2026-03-13 05:15:00,3.4,movements/h
2026-03-13 05:20:00,0.7,movements/h
2026-03-13 05:25:00,4.0,movements/h
2026-03-13 05:30:00,3.5,movements/h
2026-03-13 05:35:00,0.8,movements/h
2026-03-13 05:40:00,2.0,movements/h
2026-03-13 05:45:00,3.4,movements/h
2026-03-13 05:50:00,1.5,movements/h
2026-03-13 05:55:00,1.8,movements/h
2026-03-13 06:00:00,26.8,movements/h
2026-03-13 06:05:00,31.5,movements/h
2026-03-13 06:10:00,26.2,movements/h
2026-03-13 06:15:00,28.0,movements/h
2026-03-13 06:20:00,29.6,movements/h
2026-03-13 06:25:00,27.4,movements/h
2026-03-13 06:30:00,25.4,movements/h
2026-03-13 06:35:00,24.0,movements/h
2026-03-13 06:40:00,23.4,movements/h
2026-03-13 06:45:00,24.5,movements/h
2026-03-13 06:50:00,22.8,movements/h
2026-03-13 06:55:00,25.8,movements/h
2026-03-13 07:00:00,28.9,movements/h
2026-03-13 07:05:00,28.2,movements/h
2026-03-13 07:10:00,25.5,movements/h
2026-03-13 07:15:00,24.9,movements/h
2026-03-13 07:20:00,25.0,movements/h
2026-03-13 07:25:00,23.8,movements/h
2026-03-13 07:30:00,24.3,movements/h
2026-03-13 07:35:00,30.1,movements/h
2026-03-13 07:40:00,23.8,movements/h
2026-03-13 07:45:00,28.1,movements/h
2026-03-13 07:50:00,26.1,movements/h
2026-03-13 07:55:00,35.3,movements/h
2026-03-13 08:00:00,22.6,movements/h
2026-03-13 08:05:00,28.6,movements/h
2026-03-13 08:10:00,27.0,movements/h
2026-03-13 08:15:00,25.7,movements/h
2026-03-13 08:20:00,28.9,movements/h
2026-03-13 08:25:00,28.5,movements/h
2026-03-13 08:30:00,24.8,movements/h
2026-03-13 08:35:00,29.3,movements/h
2026-03-13 08:40:00,29.2,movements/h
2026-03-13 08:45:00,31.9,movements/h
2026-03-13 08:50:00,26.2,movements/h
2026-03-13 08:55:00,32.4,movements/h
2026-03-13 09:00:00,27.4,movements/h
2026-03-13 09:05:00,22.1,movements/h
2026-03-13 09:10:00,29.6,movements/h
2026-03-13 09:15:00,27.8,movements/h
2026-03-13 09:20:00,25.4,movements/h
2026-03-13 09:25:00,30.8,movements/h
2026-03-13 09:30:00,26.6,movements/h
2026-03-13 09:35:00,31.1,movements/h
2026-03-13 09:40:00,27.8,movements/h
2026-03-13 09:45:00,30.3,movements/h
2026-03-13 09:50:00,30.0,movements/h
2026-03-13 09:55:00,29.4,movements/h
2026-03-13 10:00:00,10.9,movements/h
2026-03-13 10:05:00,16.8,movements/h
2026-03-13 10:10:00,14.1,movements/h
2026-03-13 10:15:00,20.0,movements/h
2026-03-13 10:20:00,15.4,movements/h
2026-03-13 10:25:00,16.3,movements/h
2026-03-13 10:30:00,11.7,movements/h
2026-03-13 10:35:00,12.8,movements/h
2026-03-13 10:40:00,14.3,movements/h
2026-03-13 10:45:00,10.5,movements/h
2026-03-13 10:50:00,10.5,movements/h
2026-03-13 10:55:00,13.7,movements/h
2026-03-13 11:00:00,21.8,movements/h
2026-03-13 11:05:00,22.4,movements/h
2026-03-13 11:10:00,24.2,movements/h
2026-03-13 11:15:00,21.2,movements/h
2026-03-13 11:20:00,23.4,movements/h
2026-03-13 11:25:00,21.7,movements/h
2026-03-13 11:30:00,21.6,movements/h
2026-03-13 11:35:00,22.5,movements/h
2026-03-13 11:40:00,17.9,movements/h
2026-03-13 11:45:00,22.1,movements/h
2026-03-13 11:50:00,20.7,movements/h
2026-03-13 11:55:00,20.1,movements/h
2026-03-13 12:00:00,18.2,movements/h
2026-03-13 12:05:00,21.1,movements/h
2026-03-13 12:10:00,18.2,movements/h
2026-03-13 12:15:00,23.7,movements/h
2026-03-13 12:20:00,21.5,movements/h
2026-03-13 12:25:00,18.6,movements/h
2026-03-13 12:30:00,20.7,movements/h
2026-03-13 12:35:00,23.5,movements/h
2026-03-13 12:40:00,20.8,movements/h
2026-03-13 12:45:00,21.4,movements/h
2026-03-13 12:50:00,21.3,movements/h
2026-03-13 12:55:00,21.7,movements/h
2026-03-13 13:00:00,18.6,movements/h
2026-03-13 13:05:00,21.9,movements/h
2026-03-13 13:10:00,20.9,movements/h
2026-03-13 13:15:00,27.9,movements/h
2026-03-13 13:20:00,21.6,movements/h
2026-03-13 13:25:00,21.1,movements/h
2026-03-13 13:30:00,24.0,movements/h
2026-03-13 13:35:00,21.7,movements/h
2026-03-13 13:40:00,22.5,movements/h
2026-03-13 13:45:00,20.3,movements/h
2026-03-13 13:50:00,25.1,movements/h
2026-03-13 13:55:00,20.7,movements/h
2026-03-13 14:00:00,15.1,movements/h
2026-03-13 14:05:00,17.4,movements/h
2026-03-13 14:10:00,13.1,movements/h
2026-03-13 14:15:00,14.0,movements/h
2026-03-13 14:20:00,15.8,movements/h
2026-03-13 14:25:00,16.0,movements/h
2026-03-13 14:30:00,10.7,movements/h
2026-03-13 14:35:00,14.5,movements/h
2026-03-13 14:40:00,11.2,movements/h
2026-03-13 14:45:00,11.8,movements/h
2026-03-13 14:50:00,12.1,movements/h
2026-03-13 14:55:00,17.6,movements/h
2026-03-13 15:00:00,18.8,movements/h
2026-03-13 15:05:00,21.8,movements/h
2026-03-13 15:10:00,13.8,movements/h
2026-03-13 15:15:00,11.5,movements/h
2026-03-13 15:20:00,11.1,movements/h
2026-03-13 15:25:00,18.8,movements/h
2026-03-13 15:30:00,9.4,movements/h
2026-03-13 15:35:00,13.0,movements/h
2026-03-13 15:40:00,12.3,movements/h
2026-03-13 15:45:00,19.2,movements/h
2026-03-13 15:50:00,11.0,movements/h
2026-03-13 15:55:00,17.3,movements/h
2026-03-13 16:00:00,33.9,movements/h
2026-03-13 16:05:00,29.5,movements/h
2026-03-13 16:10:00,31.4,movements/h
2026-03-13 16:15:00,25.4,movements/h
2026-03-13 16:20:00,29.7,movements/h
2026-03-13 16:25:00,29.4,movements/h
2026-03-13 16:30:00,22.3,movements/h
2026-03-13 16:35:00,31.2,movements/h
2026-03-13 16:40:00,31.1,movements/h
2026-03-13 16:45:00,24.9,movements/h
2026-03-13 16:50:00,25.8,movements/h
2026-03-13 16:55:00,27.8,movements/h
