timestamp,value,unit,zone
2026-03-13 06:20:00,30.4,min,Security A
2026-03-13 06:25:00,23.6,min,Security A
2026-03-13 06:30:00,33.3,min,Security A
2026-03-13 06:35:00,24.0,min,Security A
2026-03-13 06:40:00,24.9,min,Security A
2026-03-13 06:45:00,28.5,min,Security A
2026-03-13 06:50:00,28.1,min,Security A
2026-03-13 06:55:00,33.7,min,Security A
2026-03-13 07:00:00,28.5,min,Security A
2026-03-13 07:05:00,23.2,min,Security A
2026-03-13 07:10:00,25.8,min,Security A
2026-03-13 07:15:00,25.7,min,Security A
2026-03-13 07:20:00,30.9,min,Security A
2026-03-13 07:25:00,29.5,min,Security A
2026-03-13 07:30:00,27.5,min,Security A
2026-03-13 07:35:00,31.5,min,Security A
2026-03-13 07:40:00,25.9,min,Security A
2026-03-13 07:45:00,48,min,Security A
2026-03-13 07:50:00,48,min,Security A
2026-03-13 07:55:00,34.1,min,Security A
2026-03-13 08:00:00,27.6,min,Security A
2026-03-13 08:05:00,26.6,min,Security A
2026-03-13 08:10:00,23.8,min,Security A
2026-03-13 08:15:00,30.7,min,Security A
2026-03-13 08:20:00,25.6,min,Security A
2026-03-13 08:25:00,29.4,min,Security A
2026-03-13 08:30:00,20.4,min,Security A
2026-03-13 08:35:00,32.2,min,Security A
2026-03-13 08:40:00,22.7,min,Security A
2026-03-13 08:45:00,24.9,min,Security A
2026-03-13 08:50:00,32.2,min,Security A
2026-03-13 08:55:00,22.7,min,Security A
2026-03-13 09:00:00,27.7,min,Security A
2026-03-13 09:05:00,28.3,min,Security A
2026-03-13 09:10:00,24.0,min,Security A
2026-03-13 09:15:00,33.4,min,Security A
2026-03-13 09:20:00,34.0,min,Security A
2026-03-13 09:25:00,20.1,min,Security A
2026-03-13 09:30:00,22.2,min,Security A
2026-03-13 09:35:00,31.2,min,Security A
2026-03-13 09:40:00,22.8,min,Security A
2026-03-13 09:45:00,26.4,min,Security A
2026-03-13 09:50:00,28.5,min,Security A
2026-03-13 09:55:00,30.8,min,Security A
2026-03-13 10:00:00,11.3,min,Security A
2026-03-13 10:05:00,12.3,min,Security A
2026-03-13 10:10:00,9.7,min,Security A
2026-03-13 10:15:00,15.9,min,Security A
2026-03-13 10:20:00,10.5,min,Security A
2026-03-13 10:25:00,13.0,min,Security A
2026-03-13 10:30:00,10.5,min,Security A
2026-03-13 10:35:00,12.3,min,Security A
2026-03-13 10:40:00,11.5,min,Security A
2026-03-13 10:45:00,11.5,min,Security A
2026-03-13 10:50:00,9.0,min,Security A
2026-03-13 10:55:00,14.4,min,Security A
2026-03-13 11:00:00,26.2,min,Security A
2026-03-13 11:05:00,22.7,min,Security A
2026-03-13 11:10:00,24.2,min,Security A
2026-03-13 11:15:00,24.5,min,Security A
2026-03-13 11:20:00,24.8,min,Security A
2026-03-13 11:25:00,22.9,min,Security A
2026-03-13 11:30:00,22.6,min,Security A
2026-03-13 11:35:00,24.6,min,Security A
2026-03-13 11:40:00,22.2,min,Security A
2026-03-13 11:45:00,19.1,min,Security A
2026-03-13 11:50:00,22.1,min,Security A
2026-03-13 11:55:00,16.3,min,Security A
2026-03-13 12:00:00,22.0,min,Security A
2026-03-13 12:05:00,23.2,min,Security A
2026-03-13 12:10:00,25.7,min,Security A
2026-03-13 12:15:00,22.5,min,Security A
2026-03-13 12:20:00,24.8,min,Security A
2026-03-13 12:25:00,22.0,min,Security A
2026-03-13 12:30:00,18.9,min,Security A
2026-03-13 12:35:00,17.8,min,Security A
2026-03-13 12:40:00,19.1,min,Security A
2026-03-13 12:45:00,17.9,min,Security A
2026-03-13 12:50:00,23.9,min,Security A
2026-03-13 12:55:00,21.4,min,Security A
2026-03-13 13:00:00,23.7,min,Security A
2026-03-13 13:05:00,22.2,min,Security A
2026-03-13 13:10:00,25.1,min,Security A
2026-03-13 13:15:00,25.2,min,Security A
2026-03-13 13:20:00,20.1,min,Security A
2026-03-13 13:25:00,21.2,min,Security A
2026-03-13 13:30:00,20.4,min,Security A
2026-03-13 13:35:00,17.1,min,Security A
2026-03-13 13:40:00,24.0,min,Security A
2026-03-13 13:45:00,25.6,min,Security A
2026-03-13 13:50:00,22.0,min,Security A
2026-03-13 13:55:00,20.5,min,Security A
2026-03-13 14:00:00,15.3,min,Security A
2026-03-13 14:05:00,5.0,min,Security A
2026-03-13 14:10:00,12.5,min,Security A
2026-03-13 14:15:00,12.4,min,Security A
2026-03-13 14:20:00,10.3,min,Security A
2026-03-13 14:25:00,16.2,min,Security A
2026-03-13 14:30:00,14.9,min,Security A
2026-03-13 14:35:00,11.2,min,Security A
2026-03-13 14:40:00,11.7,min,Security A
2026-03-13 14:45:00,10.8,min,Security A
2026-03-13 14:50:00,10.5,min,Security A
2026-03-13 14:55:00,8.1,min,Security A
2026-03-13 15:00:00,16.1,min,Security A
2026-03-13 15:05:00,15.1,min,Security A
2026-03-13 15:10:00,14.4,min,Security A
2026-03-13 15:15:00,8.7,min,Security A
2026-03-13 15:20:00,18.2,min,Security A
2026-03-13 15:25:00,17.9,min,Security A
2026-03-13 15:30:00,12.6,min,Security A
2026-03-13 15:35:00,9.3,min,Security A
2026-03-13 15:40:00,9.4,min,Security A
2026-03-13 15:45:00,13.3,min,Security A
2026-03-13 15:50:00,9.3,min,Security A
2026-03-13 15:55:00,11.9,min,Security A
2026-03-13 16:00:00,40.4,min,Security A
2026-03-13 16:05:00,27.5,min,Security A
2026-03-13 16:10:00,45.0,min,Security A
2026-03-13 16:15:00,42.8,min,Security A
2026-03-13 16:20:00,28.8,min,Security A
2026-03-13 16:25:00,27.9,min,Security A
2026-03-13 16:30:00,33.6,min,Security A
2026-03-13 16:35:00,29.8,min,Security A
2026-03-13 16:40:00,33.7,min,Security A
2026-03-13 16:45:00,22.1,min,Security A
2026-03-13 16:50:00,33.9,min,Security A
2026-03-13 16:55:00,44.0,min,Security A
